Material;DataHora;Estoque;Custo_Unitario;Custo_Total
Paracetamol;2024-01-29 18:00:00;462;1,53;706,86
Luvas Cirúrgicas;2024-03-21 15:00:00;163;0,8;130,4
Seringas;2024-02-15 03:00:00;219;0,47;102,93
Adrenalina;2024-07-03 21:00:00;322;4,98;1603,56
Gaze Estéril;2024-09-29 09:00:00;302;0,41;123,82
Luvas Cirúrgicas;2024-08-28 00:00:00;76;0,87;66,12
Algodão;2024-11-05 12:00:00;534;0,25;133,5
Paracetamol;2024-12-11 06:00:00;530;1,51;800,3
Álcool 70%;2024-11-23 12:00:00;527;1,96;1032,92
Gaze Estéril;2024-11-02 00:00:00;309;0,4;123,6
Gaze Estéril;2024-08-09 00:00:00;291;0,4;116,4
Algodão;2024-07-25 12:00:00;378;0,25;94,5
Soro Fisiológico;2024-03-16 00:00:00;98;3,02;295,96
Adrenalina;2024-07-18 03:00:00;238;5,05;1201,9
Álcool 70%;2024-01-31 15:00:00;279;1,97;549,63
Paracetamol;2024-07-13 03:00:00;487;1,47;715,89
Gaze Estéril;2024-11-05 21:00:00;298;0,39;116,22
Dipirona;2024-09-07 12:00:00;499;1,29;643,71
Dipirona;2024-06-18 15:00:00;539;1,33;716,87
Algodão;2024-09-05 03:00:00;134;0,25;33,5
Álcool 70%;2024-07-01 00:00:00;54;2,04;110,16
Dipirona;2024-02-26 18:00:00;505;1,31;661,55
Dipirona;2024-04-24 06:00:00;490;1,32;646,8
Dipirona;2024-06-04 00:00:00;494;1,32;652,08
Luvas Cirúrgicas;2024-01-13 21:00:00;271;0,78;211,38
Seringas;2024-06-05 00:00:00;840;0,48;403,2
Soro Fisiológico;2024-04-26 00:00:00;291;2,97;864,27
Álcool 70%;2024-12-29 21:00:00;164;1,98;324,72
Gaze Estéril;2024-05-11 15:00:00;300;0,39;117
Seringas;2024-05-09 03:00:00;0;0,56;0
Dipirona;2024-10-06 00:00:00;513;1,28;656,64
Luvas Cirúrgicas;2024-01-15 12:00:00;1642;0,85;1395,7
Adrenalina;2024-03-19 12:00:00;403;5,03;2027,09
Soro Fisiológico;2024-04-14 06:00:00;221;2,98;658,58
Paracetamol;2024-08-25 15:00:00;466;1,5;699
Soro Fisiológico;2024-12-07 03:00:00;380;3;1140
Álcool 70%;2024-08-09 12:00:00;436;2;872
Paracetamol;2024-06-16 00:00:00;477;1,47;701,19
Álcool 70%;2024-05-21 06:00:00;191;2,04;389,64
Adrenalina;2024-11-19 06:00:00;408;4,98;2031,84
Máscaras N95;2024-11-13 21:00:00;301;4,9;1474,9
Seringas;2024-02-12 09:00:00;112;0,54;60,48
Algodão;2024-06-28 09:00:00;105;0,25;26,25
Paracetamol;2024-07-02 18:00:00;514;1,49;765,86
Máscaras N95;2024-12-27 09:00:00;285;5,13;1462,05
Paracetamol;2024-12-28 21:00:00;526;1,47;773,22
Luvas Cirúrgicas;2024-08-28 15:00:00;214;0,84;179,76
Soro Fisiológico;2024-07-25 18:00:00;334;3,03;1012,02
Dipirona;2024-05-18 06:00:00;486;1,28;622,08
Paracetamol;2024-07-24 06:00:00;522;1,51;788,22
Dipirona;2024-03-13 09:00:00;513;1,29;661,77
Gaze Estéril;2024-01-30 03:00:00;281;0,4;112,4
Gaze Estéril;2024-12-05 09:00:00;293;0,39;114,27
Dipirona;2024-10-24 00:00:00;507;1,29;654,03
Álcool 70%;2024-04-15 21:00:00;163;1,97;321,11
Máscaras N95;2024-03-21 00:00:00;272;4,17;1134,24
Algodão;2024-04-14 03:00:00;521;0,25;130,25
Luvas Cirúrgicas;2024-07-24 00:00:00;46;0,83;38,18
Algodão;2024-12-14 00:00:00;253;0,25;63,25
Seringas;2024-04-22 21:00:00;164;0,46;75,44
Algodão;2024-02-07 00:00:00;173;0,25;43,25
Álcool 70%;2024-09-05 09:00:00;382;1,97;752,54
Algodão;2024-04-29 03:00:00;559;0,25;139,75
Luvas Cirúrgicas;2024-09-10 00:00:00;429;0,78;334,62
Paracetamol;2024-09-23 15:00:00;484;1,48;716,32
Dipirona;2024-11-21 21:00:00;514;1,28;657,92
Gaze Estéril;2024-07-16 12:00:00;289;0,41;118,49
Algodão;2024-05-25 00:00:00;453;0,25;113,25
Algodão;2024-09-25 03:00:00;;0,25;127,25
Soro Fisiológico;2024-08-24 09:00:00;445;3,01;1339,45
Gaze Estéril;2024-01-24 03:00:00;311;0,4;124,4
Luvas Cirúrgicas;2024-03-30 12:00:00;168;0,81;136,08
Paracetamol;2024-05-31 21:00:00;501;1,48;741,48
Luvas Cirúrgicas;2024-12-09 12:00:00;229;0,68;155,72
Gaze Estéril;2024-06-22 18:00:00;288;0,4;115,2
Máscaras N95;2024-12-19 18:00:00;310;5,1;1581
Adrenalina;2024-07-20 09:00:00;299;4,97;1486,03
Seringas;2024-11-11 18:00:00;443;0,46;203,78
Soro Fisiológico;2024-02-23 12:00:00;433;2,96;1281,68
Soro Fisiológico;2024-03-12 09:00:00;367;2,95;1082,65
Luvas Cirúrgicas;2024-12-15 15:00:00;886;0,89;788,54
Soro Fisiológico;2024-09-15 15:00:00;323;3,05;985,15
Paracetamol;2024-08-02 09:00:00;519;1,49;773,31
Gaze Estéril;2024-12-29 12:00:00;323;0,4;129,2
Máscaras N95;2024-02-29 09:00:00;292;4,45;1299,4
Seringas;2024-09-11 09:00:00;316;0,47;148,52
Algodão;2024-03-02 06:00:00;159;0,25;39,75
Luvas Cirúrgicas;2024-11-13 21:00:00;474;0,8;379,2
Gaze Estéril;2024-01-15 15:00:00;319;0,4;127,6
Álcool 70%;2024-12-13 21:00:00;543;2,04;1107,72
Álcool 70%;2024-11-27 15:00:00;86;2,01;172,86
Adrenalina;2024-09-10 15:00:00;129;5,04;650,16
Dipirona;2024-06-20 00:00:00;516;1,32;681,12
Máscaras N95;2024-09-09 15:00:00;316;4,18;1320,88
Gaze Estéril;2024-01-19 00:00:00;321;0,4;128,4
Soro Fisiológico;2024-10-17 09:00:00;475;3,06;1453,5
Seringas;2024-01-11 09:00:00;161;0,54;86,94
Álcool 70%;2024-02-03 09:00:00;498;1,97;981,06
Algodão;2024-07-01 15:00:00;379;0,25;94,75
Seringas;2024-11-16 06:00:00;123;0,54;66,42
Adrenalina;2024-08-29 18:00:00;528;4,9;2587,2
Dipirona;2024-09-13 15:00:00;508;1,28;650,24
Seringas;2024-07-26 21:00:00;585;0,51;298,35
Paracetamol;2024-12-22 09:00:00;499;1,47;733,53
Paracetamol;2024-08-24 03:00:00;509;1,52;773,68
Gaze Estéril;2024-10-21 03:00:00;305;0,4;122
Máscaras N95;2024-08-19 03:00:00;310;4,02;1246,2
Soro Fisiológico;2024-02-12 15:00:00;266;3,02;803,32
Máscaras N95;2024-03-22 00:00:00;285;4,72;1345,2
Máscaras N95;2024-09-02 18:00:00;290;4,92;1426,8
Soro Fisiológico;2024-05-06 12:00:00;303;3,01;912,03
Adrenalina;2024-01-27 09:00:00;240;4,92;1180,8
Álcool 70%;2024-03-01 03:00:00;469;1,97;923,93
Seringas;2024-09-23 09:00:00;201;0,56;112,56
Soro Fisiológico;2024-05-20 00:00:00;378;2,94;1111,32
Adrenalina;2024-10-25 06:00:00;65;4,96;322,4
Soro Fisiológico;2024-07-14 09:00:00;349;3,02;1053,98
Gaze Estéril;2024-12-29 15:00:00;306;0,41;125,46
Paracetamol;2024-12-30 18:00:00;506;1,49;753,94
Dipirona;2024-12-21 06:00:00;475;1,31;622,25
Seringas;2024-04-30 18:00:00;480;0,49;235,2
Gaze Estéril;2024-06-23 15:00:00;292;0,41;119,72
Paracetamol;2024-04-27 00:00:00;486;1,53;743,58
Adrenalina;2024-03-27 18:00:00;355;4,91;1743,05
Algodão;2024-03-08 15:00:00;547;0,25;136,75
Adrenalina;2024-04-12 00:00:00;297;4,92;1461,24
Paracetamol;2024-04-04 00:00:00;489;1,5;733,5
Algodão;2024-05-30 21:00:00;596;0,25;149
Álcool 70%;2024-10-29 21:00:00;251;1,97;494,47
Adrenalina;2024-10-29 18:00:00;341;5,09;1735,69
Luvas Cirúrgicas;2024-10-08 18:00:00;104;0,75;78
Máscaras N95;2024-07-01 06:00:00;284;4,61;1309,24
Seringas;2024-08-25 09:00:00;212;0,56;118,72
Máscaras N95;2024-04-25 18:00:00;293;4,02;1177,86
Máscaras N95;2024-03-13 03:00:00;278;4,71;1309,38
Gaze Estéril;2024-09-18 00:00:00;325;0,41;133,25
Álcool 70%;2024-11-28 18:00:00;318;2,03;645,54
Luvas Cirúrgicas;2024-11-05 15:00:00;48;0,8;38,4
Dipirona;2024-09-27 18:00:00;481;1,3;625,3
Máscaras N95;2024-02-21 06:00:00;312;5,16;1609,92
Paracetamol;2024-05-23 09:00:00;503;1,53;769,59
Algodão;2024-05-23 09:00:00;492;0,25;123
Dipirona;2024-03-29 21:00:00;509;1,29;656,61
Soro Fisiológico;2024-01-01 06:00:00;224;3;672
Soro Fisiológico;2024-07-10 21:00:00;324;2,95;955,8
Seringas;2024-08-20 00:00:00;133;0,44;58,52
Seringas;2024-06-10 15:00:00;342;0,48;164,16
Máscaras N95;2024-01-26 21:00:00;290;4,67;1354,3
Gaze Estéril;2024-04-29 18:00:00;301;0,39;117,39
Dipirona;2024-11-29 18:00:00;490;1,28;627,2
Algodão;2024-04-24 21:00:00;596;0,25;149
Seringas;2024-09-05 00:00:00;318;0,46;146,28
Álcool 70%;2024-10-10 18:00:00;256;2;512
Gaze Estéril;2024-02-07 12:00:00;303;0,39;118,17
Seringas;2024-04-19 18:00:00;819;0,47;384,93
Soro Fisiológico;2024-12-07 06:00:00;221;2,99;660,79
Máscaras N95;2024-02-23 18:00:00;304;3,9;1185,6
Adrenalina;2024-08-15 00:00:00;292;4,96;1448,32
Álcool 70%;2024-01-11 18:00:00;322;2;644
Máscaras N95;2024-01-02 03:00:00;304;3,95;1200,8
Algodão;2024-08-01 06:00:00;579;0,25;144,75
Algodão;2024-06-13 18:00:00;149;0,25;37,25
Álcool 70%;2024-11-27 18:00:00;94;1,98;186,12
Máscaras N95;2024-06-18 00:00:00;314;4,31;1353,34
Seringas;2024-11-20 12:00:00;72;0,43;30,96
Dipirona;2024-09-05 03:00:00;491;1,29;633,39
Luvas Cirúrgicas;2024-03-21 18:00:00;236;0,75;177
Algodão;2024-09-27 18:00:00;586;0,25;146,5
Gaze Estéril;2024-07-04 18:00:00;305;0,4;122
Seringas;2024-01-16 18:00:00;424;0,45;190,8
Paracetamol;2024-05-10 15:00:00;510;1,47;749,7
Gaze Estéril;2024-09-26 21:00:00;312;0,4;124,8
Álcool 70%;2024-02-25 09:00:00;177;2,01;355,77
Seringas;2024-08-05 21:00:00;262;0,54;141,48
Seringas;2024-01-16 09:00:00;381;0,51;194,31
Adrenalina;2024-09-15 12:00:00;224;5,08;1137,92
Luvas Cirúrgicas;2024-08-09 21:00:00;851;0,88;748,88
Dipirona;2024-05-19 21:00:00;487;1,31;637,97
Máscaras N95;2024-06-28 15:00:00;298;4,78;1424,44
Máscaras N95;2024-06-06 12:00:00;324;4,09;1325,16
Dipirona;2024-05-31 12:00:00;512;1,28;655,36
Seringas;2024-10-31 09:00:00;425;0,56;238
Algodão;2024-05-31 15:00:00;343;0,25;85,75
Luvas Cirúrgicas;2024-11-27 09:00:00;446;0,88;392,48
Luvas Cirúrgicas;2024-11-07 12:00:00;614;0,88;540,32
Algodão;2024-01-13 21:00:00;355;0,25;88,75
Dipirona;2024-04-24 12:00:00;487;1,31;637,97
Gaze Estéril;2024-07-21 06:00:00;312;0,4;124,8
Seringas;2024-02-23 09:00:00;501;0,55;275,55
Álcool 70%;2024-12-27 06:00:00;437;1,97;860,89
Algodão;2024-12-29 21:00:00;231;0,25;57,75
Soro Fisiológico;2024-10-09 12:00:00;317;2,98;944,66
Seringas;2024-06-28 03:00:00;163;0,46;74,98
Máscaras N95;2024-01-04 09:00:00;311;5,16;1604,76
Gaze Estéril;2024-12-17 12:00:00;313;0,4;125,2
Adrenalina;2024-05-26 00:00:00;263;5,1;1341,3
Adrenalina;2024-09-16 06:00:00;291;5,02;1460,82
Soro Fisiológico;2024-02-02 09:00:00;87;2,94;255,78
Soro Fisiológico;2024-02-03 09:00:00;312;3;936
Luvas Cirúrgicas;2024-12-30 03:00:00;207;0,82;169,74
Adrenalina;2024-12-30 03:00:00;401;4,92;1972,92
Adrenalina;2024-12-12 12:00:00;284;4,97;1411,48
Soro Fisiológico;2024-04-08 00:00:00;260;3,04;790,4
Álcool 70%;2024-05-19 18:00:00;437;1,96;856,52
Luvas Cirúrgicas;2024-12-22 00:00:00;43;0,86;36,98
Máscaras N95;2024-09-18 21:00:00;295;4,92;1451,4
Seringas;2024-04-17 06:00:00;154;0,52;80,08
Seringas;2024-11-20 06:00:00;393;0,47;184,71
Luvas Cirúrgicas;2024-07-27 03:00:00;154;0,82;126,28
Álcool 70%;2024-10-06 12:00:00;342;2,01;687,42
Luvas Cirúrgicas;2024-12-10 03:00:00;72;0,72;51,84
Dipirona;2024-11-19 06:00:00;501;1,3;651,3
Máscaras N95;2024-11-12 15:00:00;322;4,57;1471,54
Adrenalina;2024-10-30 03:00:00;152;5,04;766,08
Adrenalina;2024-07-18 09:00:00;384;5,07;1946,88
Gaze Estéril;2024-02-23 21:00:00;285;0,4;114
Luvas Cirúrgicas;2024-07-06 09:00:00;410;0,79;323,9
Luvas Cirúrgicas;2024-05-28 00:00:00;320;0,74;236,8
Luvas Cirúrgicas;2024-08-12 18:00:00;313;0,76;237,88
Álcool 70%;2024-05-03 09:00:00;535;2,03;1086,05
Dipirona;2024-10-28 03:00:00;465;1,29;599,85
Álcool 70%;2024-01-31 06:00:00;233;2,01;468,33
Algodão;2024-12-22 03:00:00;223;0,25;55,75
Soro Fisiológico;2024-07-30 09:00:00;321;3,05;979,05
Paracetamol;2024-08-31 09:00:00;473;1,51;714,23
Soro Fisiológico;2024-09-21 15:00:00;308;3,06;942,48
Paracetamol;2024-03-07 12:00:00;518;1,53;792,54
Dipirona;2024-02-28 18:00:00;479;1,29;617,91
Dipirona;2024-10-25 00:00:00;472;1,28;604,16
Álcool 70%;2024-10-09 09:00:00;334;2;668
Soro Fisiológico;2024-12-26 18:00:00;175;2,97;519,75
Soro Fisiológico;2024-04-24 06:00:00;331;3;993
Gaze Estéril;2024-10-12 15:00:00;300;0,4;120
Gaze Estéril;2024-11-01 21:00:00;308;0,39;120,12
Gaze Estéril;2024-12-17 09:00:00;276;0,4;110,4
Álcool 70%;2024-03-06 06:00:00;555;2,01;1115,55
Soro Fisiológico;2024-10-13 00:00:00;444;3;1332
Paracetamol;2024-09-01 21:00:00;459;1,51;693,09
Álcool 70%;2024-01-01 03:00:00;330;2,03;669,9
Gaze Estéril;2024-12-12 09:00:00;309;0,4;123,6
Algodão;2024-05-14 06:00:00;403;0,25;100,75
Seringas;2024-08-07 00:00:00;399;0,51;203,49
Algodão;2024-06-11 15:00:00;568;0,25;142
Máscaras N95;2024-08-14 06:00:00;302;4,07;1229,14
Máscaras N95;2024-12-06 09:00:00;328;4,78;1567,84
Adrenalina;2024-08-23 09:00:00;308;5,06;1558,48
Algodão;2024-01-23 18:00:00;482;0,25;120,5
Adrenalina;2024-11-15 03:00:00;340;5;1700
Máscaras N95;2024-07-15 03:00:00;283;4,69;1327,27
Algodão;2024-02-14 03:00:00;82;0,25;20,5
Álcool 70%;2024-05-09 21:00:00;78;2,04;159,12
Álcool 70%;2024-11-10 03:00:00;570;2,02;1151,4
Máscaras N95;2024-11-05 12:00:00;284;4,91;1394,44
Seringas;2024-11-21 18:00:00;1124;0,45;505,8
Gaze Estéril;2024-04-30 21:00:00;326;0,39;127,14
Paracetamol;2024-05-19 03:00:00;502;1,49;747,98
Paracetamol;2024-01-05 09:00:00;503;1,52;764,56
Paracetamol;2024-08-04 06:00:00;494;1,5;741
Algodão;2024-09-27 12:00:00;175;0,25;43,75
Paracetamol;2024-07-02 21:00:00;467;1,48;691,16
Adrenalina;2024-02-09 03:00:00;267;5,02;1340,34
Gaze Estéril;2024-05-04 21:00:00;287;0,4;114,8
Algodão;2024-05-31 18:00:00;514;0,25;128,5
Gaze Estéril;2024-07-25 09:00:00;312;0,41;127,92
Soro Fisiológico;2024-10-27 15:00:00;112;2,94;329,28
Paracetamol;2024-06-26 18:00:00;468;1,48;692,64
Gaze Estéril;2024-12-13 18:00:00;312;0,4;124,8
Seringas;2024-05-18 18:00:00;389;0,44;171,16
Gaze Estéril;2024-12-01 12:00:00;318;0,4;127,2
Paracetamol;2024-09-13 21:00:00;500;1,52;760
Seringas;2024-10-09 12:00:00;972;0,56;544,32
Seringas;2024-05-11 12:00:00;83;0,47;39,01
Álcool 70%;2024-09-10 12:00:00;292;2,03;592,76
Gaze Estéril;2024-08-11 09:00:00;307;0,4;122,8
Adrenalina;2024-08-24 09:00:00;357;5,06;1806,42
Máscaras N95;2024-11-24 00:00:00;288;4,2;1209,6
Soro Fisiológico;2024-08-04 00:00:00;443;3,02;1337,86
Algodão;2024-05-29 21:00:00;203;0,25;50,75
Luvas Cirúrgicas;2024-11-16 12:00:00;14;0,8;11,2
Luvas Cirúrgicas;2024-11-16 09:00:00;794;0,81;643,14
Seringas;2024-05-25 21:00:00;1191;0,57;678,87
Paracetamol;2024-07-23 09:00:00;496;1,48;734,08
Soro Fisiológico;2024-06-20 15:00:00;255;3,06;780,3
Soro Fisiológico;2024-07-10 00:00:00;400;2,99;1196
Máscaras N95;2024-07-05 12:00:00;313;4,23;1323,99
Seringas;2024-06-17 03:00:00;657;0,57;374,49
Luvas Cirúrgicas;2024-02-26 21:00:00;266;0,73;194,18
Luvas Cirúrgicas;2024-07-07 12:00:00;69;0,75;51,75
Algodão;2024-09-28 06:00:00;291;0,25;72,75
Gaze Estéril;2024-07-19 09:00:00;323;0,4;129,2
Álcool 70%;2024-03-31 03:00:00;441;1,99;877,59
Soro Fisiológico;2024-11-14 09:00:00;334;2,97;991,98
Paracetamol;2024-02-17 18:00:00;507;1,48;750,36
Dipirona;2024-01-31 03:00:00;551;1,31;721,81
Álcool 70%;2024-05-13 03:00:00;508;1,97;1000,76
Máscaras N95;2024-12-14 00:00:00;310;4,67;1447,7
Álcool 70%;2024-02-02 00:00:00;224;1,98;443,52
Álcool 70%;2024-10-30 03:00:00;224;2,04;456,96
Algodão;2024-06-19 00:00:00;421;0,25;105,25
Máscaras N95;2024-08-25 21:00:00;309;4,8;1483,2
Adrenalina;2024-02-29 00:00:00;429;5,02;2153,58
Máscaras N95;2024-10-04 15:00:00;296;4,31;1275,76
Dipirona;2024-02-26 06:00:00;475;1,28;608
Seringas;2024-09-25 18:00:00;554;0,54;299,16
Álcool 70%;2024-04-11 09:00:00;292;2,03;592,76
Seringas;2024-06-16 06:00:00;36;0,54;19,44
Luvas Cirúrgicas;2024-12-18 21:00:00;207;0,73;151,11
Algodão;2024-11-19 03:00:00;426;0,25;106,5
Paracetamol;2024-09-08 03:00:00;530;1,49;789,7
Luvas Cirúrgicas;2024-04-10 18:00:00;173;0,76;131,48
Máscaras N95;2024-03-30 09:00:00;300;3,85;1155
Máscaras N95;2024-01-29 15:00:00;281;4,25;1194,25
Dipirona;2024-02-17 12:00:00;542;1,32;715,44
Soro Fisiológico;2024-09-26 09:00:00;461;2,96;1364,56
Soro Fisiológico;2024-02-17 09:00:00;398;3,03;1205,94
Dipirona;2024-07-18 00:00:00;441;1,29;568,89
Álcool 70%;2024-03-06 00:00:00;464;2,02;937,28
Álcool 70%;2024-12-12 12:00:00;171;2,03;347,13
Dipirona;2024-04-13 00:00:00;518;1,3;673,4
Álcool 70%;2024-07-23 21:00:00;299;2,03;606,97
Dipirona;2024-04-16 00:00:00;469;1,28;600,32
Gaze Estéril;2024-01-23 00:00:00;283;0,41;116,03
Paracetamol;2024-03-30 18:00:00;491;1,49;731,59
Paracetamol;2024-08-09 09:00:00;495;1,5;742,5
Gaze Estéril;2024-11-24 09:00:00;297;0,39;115,83
Gaze Estéril;2024-08-16 06:00:00;267;0,39;104,13
Paracetamol;2024-10-27 12:00:00;474;1,48;701,52
Algodão;2024-02-20 12:00:00;243;0,25;60,75
Álcool 70%;2024-05-06 15:00:00;507;1,97;998,79
Dipirona;2024-05-27 00:00:00;496;1,3;644,8
Adrenalina;2024-10-25 00:00:00;261;4,91;1281,51
Máscaras N95;2024-01-29 09:00:00;292;5;1460
Dipirona;2024-05-18 15:00:00;503;1,3;653,9
Seringas;2024-03-04 12:00:00;359;0,47;168,73
Seringas;2024-03-26 15:00:00;424;0,56;237,44
Dipirona;2024-08-26 00:00:00;497;1,31;651,07
Adrenalina;2024-01-29 21:00:00;329;5,06;1664,74
Algodão;2024-07-26 12:00:00;267;0,25;66,75
Paracetamol;2024-10-28 00:00:00;480;1,49;715,2
Gaze Estéril;2024-07-24 15:00:00;301;0,41;123,41
Paracetamol;2024-09-24 18:00:00;507;1,51;765,57
Soro Fisiológico;2024-10-28 06:00:00;339;2,99;1013,61
Soro Fisiológico;2024-07-23 18:00:00;114;2,98;339,72
Luvas Cirúrgicas;2024-11-26 03:00:00;60;0,76;45,6
Máscaras N95;2024-01-04 21:00:00;307;4,23;1298,61
Adrenalina;2024-09-18 12:00:00;287;4,96;1423,52
Luvas Cirúrgicas;2024-04-11 18:00:00;5;0,86;4,3
Seringas;2024-05-28 15:00:00;565;0,51;288,15
Dipirona;2024-04-05 06:00:00;496;1,28;634,88
Soro Fisiológico;2024-01-11 18:00:00;268;3,06;820,08
Dipirona;2024-09-22 00:00:00;472;1,32;623,04
Soro Fisiológico;2024-02-13 12:00:00;428;2,94;1258,32
Álcool 70%;2024-12-18 03:00:00;427;1,96;836,92
Algodão;2024-05-13 00:00:00;190;0,25;47,5
Seringas;2024-11-23 00:00:00;148;0,54;79,92
Algodão;2024-02-07 18:00:00;393;0,25;98,25
Seringas;2024-01-01 21:00:00;20;0,44;8,8
Adrenalina;2024-01-13 03:00:00;375;5,09;1908,75
Máscaras N95;2024-09-28 18:00:00;295;4,51;1330,45
Dipirona;2024-01-03 09:00:00;471;1,29;607,59
Álcool 70%;2024-10-20 15:00:00;210;2,02;424,2
Luvas Cirúrgicas;2024-05-10 06:00:00;23;0,77;17,71
Soro Fisiológico;2024-10-27 12:00:00;486;3,01;1462,86
Soro Fisiológico;2024-10-13 06:00:00;407;3,03;1233,21
Soro Fisiológico;2024-12-25 12:00:00;107;3,01;322,07
Dipirona;2024-06-11 15:00:00;447;1,29;576,63
Algodão;2024-10-11 12:00:00;335;0,25;83,75
Dipirona;2024-03-18 12:00:00;505;1,32;666,6
Soro Fisiológico;2024-01-10 21:00:00;253;3,04;769,12
Gaze Estéril;2024-10-17 15:00:00;296;0,4;118,4
Adrenalina;2024-02-15 21:00:00;316;4,96;1567,36
Dipirona;2024-11-28 15:00:00;490;1,32;646,8
Adrenalina;2024-07-07 12:00:00;358;5,1;1825,8
Soro Fisiológico;2024-05-07 15:00:00;173;2,99;517,27
Adrenalina;2024-10-01 00:00:00;361;4,95;1786,95
Soro Fisiológico;2024-03-24 15:00:00;279;3,04;848,16
Gaze Estéril;2024-08-17 18:00:00;288;0,41;118,08
Adrenalina;2024-11-19 21:00:00;223;4,96;1106,08
Algodão;2024-07-30 03:00:00;561;0,25;140,25
Seringas;2024-07-19 06:00:00;29;0,52;15,08
Álcool 70%;2024-06-12 03:00:00;165;1,99;328,35
Paracetamol;2024-12-10 00:00:00;472;1,5;708
Gaze Estéril;2024-07-01 00:00:00;307;0,4;122,8
Algodão;2024-04-04 06:00:00;564;0,25;141
Gaze Estéril;2024-11-21 12:00:00;0;0,41;0
Máscaras N95;2024-08-10 18:00:00;270;4,71;1271,7
Dipirona;2024-04-05 18:00:00;497;1,28;636,16
Paracetamol;2024-07-27 06:00:00;470;1,49;700,3
Luvas Cirúrgicas;2024-11-20 09:00:00;508;0,72;365,76
Dipirona;2024-07-22 12:00:00;487;1,28;623,36
Álcool 70%;2024-12-07 09:00:00;168;2;336
Algodão;2024-02-12 18:00:00;248;0,25;62
Algodão;2024-08-09 18:00:00;1360;0,25;340
Dipirona;2024-07-12 21:00:00;481;1,28;615,68
Dipirona;2024-02-12 18:00:00;479;1,32;632,28
Gaze Estéril;2024-04-20 00:00:00;312;0,4;124,8
Máscaras N95;2024-10-06 03:00:00;299;4,06;1213,94
Máscaras N95;2024-06-16 03:00:00;302;4,06;1226,12
Paracetamol;2024-05-04 03:00:00;498;1,48;737,04
Dipirona;2024-04-24 09:00:00;497;1,33;661,01
Máscaras N95;2024-03-25 06:00:00;290;4,87;1412,3
Máscaras N95;2024-08-16 12:00:00;290;5,16;1496,4
Seringas;2024-04-21 06:00:00;284;0,53;150,52
Seringas;2024-11-15 00:00:00;159;0,44;69,96
Dipirona;2024-08-20 12:00:00;545;1,31;713,95
Dipirona;2024-02-26 21:00:00;498;1,29;642,42
Soro Fisiológico;2024-10-02 00:00:00;217;2,96;642,32
Adrenalina;2024-09-14 18:00:00;368;5,08;1869,44
Álcool 70%;2024-07-24 09:00:00;93;1,97;183,21
Álcool 70%;2024-10-23 18:00:00;385;1,99;766,15
Soro Fisiológico;2024-01-24 12:00:00;205;2,98;610,9
Soro Fisiológico;2024-01-13 00:00:00;303;2,95;893,85
Máscaras N95;2024-09-07 21:00:00;297;3,83;1137,51
Gaze Estéril;2024-09-08 21:00:00;304;0,4;121,6
Paracetamol;2024-04-10 06:00:00;490;1,49;730,1
Seringas;2024-09-22 12:00:00;476;0,51;242,76
Adrenalina;2024-08-18 21:00:00;262;5,08;1330,96
Máscaras N95;2024-01-19 12:00:00;302;4,05;1223,1
Álcool 70%;2024-08-20 18:00:00;330;1,99;656,7
Dipirona;2024-04-19 18:00:00;520;1,32;686,4
Algodão;2024-08-22 12:00:00;592;0,25;148
Adrenalina;2024-06-17 12:00:00;102;4,91;500,82
Gaze Estéril;2024-12-04 12:00:00;304;0,4;121,6
Máscaras N95;2024-06-11 06:00:00;328;4,57;1498,96
Álcool 70%;2024-08-01 06:00:00;385;2,03;781,55
Máscaras N95;2024-04-12 12:00:00;286;4,6;1315,6
Algodão;2024-08-04 09:00:00;531;0,25;132,75
Dipirona;2024-04-09 15:00:00;500;1,29;645
Soro Fisiológico;2024-05-29 03:00:00;390;2,96;1154,4
Luvas Cirúrgicas;2024-04-22 03:00:00;649;0,68;441,32
Gaze Estéril;2024-03-25 06:00:00;295;0,4;118
Dipirona;2024-07-13 00:00:00;483;1,29;623,07
Adrenalina;2024-10-20 09:00:00;339;4,91;1664,49
Paracetamol;2024-04-02 00:00:00;505;1,47;742,35
Máscaras N95;2024-10-03 12:00:00;298;4,93;1469,14
Soro Fisiológico;2024-11-03 09:00:00;195;3,04;592,8
Seringas;2024-11-05 15:00:00;44;0,57;25,08
Álcool 70%;2024-12-19 12:00:00;540;2,03;1096,2
Paracetamol;2024-02-05 09:00:00;498;1,5;747
Gaze Estéril;2024-08-02 18:00:00;313;0,39;122,07
Dipirona;2024-04-06 06:00:00;459;1,3;596,7
Álcool 70%;2024-04-25 15:00:00;117;1,97;230,49
Gaze Estéril;2024-06-18 03:00:00;285;0,4;114
Paracetamol;2024-10-08 06:00:00;511;1,49;761,39
Paracetamol;2024-10-09 09:00:00;499;1,52;758,48
Adrenalina;2024-10-31 00:00:00;334;4,91;1639,94
Algodão;2024-02-26 15:00:00;499;0,25;124,75
Dipirona;2024-11-30 03:00:00;507;1,3;659,1
Máscaras N95;2024-12-12 00:00:00;281;5,06;1421,86
Gaze Estéril;2024-10-21 00:00:00;286;0,4;114,4
Soro Fisiológico;2024-01-03 21:00:00;326;2,94;958,44
Algodão;2024-12-26 09:00:00;279;0,25;69,75
Gaze Estéril;2024-10-14 21:00:00;291;0,39;113,49
Algodão;2024-09-11 00:00:00;498;0,25;124,5
